DTDPDEHYRHAMREDUCT__45__RXN	['DTDPDEHYRHAMREDUCT__45__RXN']
LYSINE__45____45__TRNA__45__LIGASE__45__RXN	['LYSINE__45____45__TRNA__45__LIGASE__45__RXN']
CARBPSYN__45__RXN	['CARBPSYN__45__RXN']
RXN__45__22	['RXN__45__22']
RXN__45__12490	[]
_2__46__3__46__1__46__157__45__RXN	['_2__46__3__46__1__46__157__45__RXN']
RXN__45__16997	['RXN__45__16997']
RXN__45__17131	['RXN__45__17131']
_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Cytochromes__45__CL__45__Red__47__PROTON__47____47__AMMONIUM__47__Cytochromes__45__CL__45__Ox__47__WATER__46__68__46__	['_1__46__7__46__2__46__2__45__RXN__45__NITRITE__47__Cytochromes__45__CL__45__Red__47__PROTON__47____47__AMMONIUM__47__Cytochromes__45__CL__45__Ox__47__WATER__46__68__46__']
RXN__45__17132	['RXN__45__17132']
RXN__45__9532	['RXN__45__9532']
GART__45__RXN	[]
F16ALDOLASE__45__RXN	['F16ALDOLASE__45__RXN']
_6PFRUCTPHOS__45__RXN	[]
METHGLYSYN__45__RXN	['METHGLYSYN__45__RXN']
P__45__PANTOCYSLIG__45__RXN	['P__45__PANTOCYSLIG__45__RXN']
RXN__45__15727	[]
RXN__45__15724	[]
IGPSYN__45__RXN	['IGPSYN__45__RXN']
RXN__45__15723	[]
RXN0__45__5118	[]
_4__46__3__46__1__46__4__45__RXN	[]
RXN__45__12508	['RXN__45__12508']
BENZOATE__45____45__COA__45__LIGASE__45__RXN	['BENZOATE__45____45__COA__45__LIGASE__45__RXN']
RXN__45__12878	[]
OROPRIBTRANS__45__RXN	['OROPRIBTRANS__45__RXN']
RXN__45__13202	['RXN__45__13202']
_3__46__6__46__3__46__12__45__RXN	['_3__46__6__46__3__46__12__45__RXN', 'TRANS__45__RXN__45__2']
CITSYN__45__RXN	['CITSYN__45__RXN']
GLUCOKIN__45__RXN__45__GLC__47__ATP__47____47__GLC__45__6__45__P__47__ADP__47__PROTON__46__28__46__	[]
